PassengerId,Survived,Pclass,sex_no,Age,SibSp,Parch,Fare,Em_no
1.00 ,0.00 ,3.00 ,1.00 ,22.00 ,1.00 ,0.00 ,7.25 ,2.00 
2.00 ,1.00 ,1.00 ,0.00 ,38.00 ,1.00 ,0.00 ,71.28 ,0.00 
3.00 ,1.00 ,3.00 ,0.00 ,26.00 ,0.00 ,0.00 ,7.93 ,2.00 
4.00 ,1.00 ,1.00 ,0.00 ,35.00 ,1.00 ,0.00 ,53.10 ,2.00 
5.00 ,0.00 ,3.00 ,1.00 ,35.00 ,0.00 ,0.00 ,8.05 ,2.00 
6.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,8.46 ,1.00 
7.00 ,0.00 ,1.00 ,1.00 ,54.00 ,0.00 ,0.00 ,51.86 ,2.00 
8.00 ,0.00 ,3.00 ,1.00 ,2.00 ,3.00 ,1.00 ,21.08 ,2.00 
9.00 ,1.00 ,3.00 ,0.00 ,27.00 ,0.00 ,2.00 ,11.13 ,2.00 
10.00 ,1.00 ,2.00 ,0.00 ,14.00 ,1.00 ,0.00 ,30.07 ,0.00 
11.00 ,1.00 ,3.00 ,0.00 ,4.00 ,1.00 ,1.00 ,16.70 ,2.00 
12.00 ,1.00 ,1.00 ,0.00 ,58.00 ,0.00 ,0.00 ,26.55 ,2.00 
13.00 ,0.00 ,3.00 ,1.00 ,20.00 ,0.00 ,0.00 ,8.05 ,2.00 
14.00 ,0.00 ,3.00 ,1.00 ,39.00 ,1.00 ,5.00 ,31.28 ,2.00 
15.00 ,0.00 ,3.00 ,0.00 ,14.00 ,0.00 ,0.00 ,7.85 ,2.00 
16.00 ,1.00 ,2.00 ,0.00 ,55.00 ,0.00 ,0.00 ,16.00 ,2.00 
17.00 ,0.00 ,3.00 ,1.00 ,2.00 ,4.00 ,1.00 ,29.13 ,1.00 
18.00 ,1.00 ,2.00 ,1.00 ,,0.00 ,0.00 ,13.00 ,2.00 
19.00 ,0.00 ,3.00 ,0.00 ,31.00 ,1.00 ,0.00 ,18.00 ,2.00 
20.00 ,1.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,7.23 ,0.00 
21.00 ,0.00 ,2.00 ,1.00 ,35.00 ,0.00 ,0.00 ,26.00 ,2.00 
22.00 ,1.00 ,2.00 ,1.00 ,34.00 ,0.00 ,0.00 ,13.00 ,2.00 
23.00 ,1.00 ,3.00 ,0.00 ,15.00 ,0.00 ,0.00 ,8.03 ,1.00 
24.00 ,1.00 ,1.00 ,1.00 ,28.00 ,0.00 ,0.00 ,35.50 ,2.00 
25.00 ,0.00 ,3.00 ,0.00 ,8.00 ,3.00 ,1.00 ,21.08 ,2.00 
26.00 ,1.00 ,3.00 ,0.00 ,38.00 ,1.00 ,5.00 ,31.39 ,2.00 
27.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.23 ,0.00 
28.00 ,0.00 ,1.00 ,1.00 ,19.00 ,3.00 ,2.00 ,263.00 ,2.00 
29.00 ,1.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,7.88 ,1.00 
30.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.90 ,2.00 
31.00 ,0.00 ,1.00 ,1.00 ,40.00 ,0.00 ,0.00 ,27.72 ,0.00 
32.00 ,1.00 ,1.00 ,0.00 ,,1.00 ,0.00 ,146.52 ,0.00 
33.00 ,1.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,7.75 ,1.00 
34.00 ,0.00 ,2.00 ,1.00 ,66.00 ,0.00 ,0.00 ,10.50 ,2.00 
35.00 ,0.00 ,1.00 ,1.00 ,28.00 ,1.00 ,0.00 ,82.17 ,0.00 
36.00 ,0.00 ,1.00 ,1.00 ,42.00 ,1.00 ,0.00 ,52.00 ,2.00 
37.00 ,1.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.23 ,0.00 
38.00 ,0.00 ,3.00 ,1.00 ,21.00 ,0.00 ,0.00 ,8.05 ,2.00 
39.00 ,0.00 ,3.00 ,0.00 ,18.00 ,2.00 ,0.00 ,18.00 ,2.00 
40.00 ,1.00 ,3.00 ,0.00 ,14.00 ,1.00 ,0.00 ,11.24 ,0.00 
41.00 ,0.00 ,3.00 ,0.00 ,40.00 ,1.00 ,0.00 ,9.48 ,2.00 
42.00 ,0.00 ,2.00 ,0.00 ,27.00 ,1.00 ,0.00 ,21.00 ,2.00 
43.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.90 ,0.00 
44.00 ,1.00 ,2.00 ,0.00 ,3.00 ,1.00 ,2.00 ,41.58 ,0.00 
45.00 ,1.00 ,3.00 ,0.00 ,19.00 ,0.00 ,0.00 ,7.88 ,1.00 
46.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,8.05 ,2.00 
47.00 ,0.00 ,3.00 ,1.00 ,,1.00 ,0.00 ,15.50 ,1.00 
48.00 ,1.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,7.75 ,1.00 
49.00 ,0.00 ,3.00 ,1.00 ,,2.00 ,0.00 ,21.68 ,0.00 
50.00 ,0.00 ,3.00 ,0.00 ,18.00 ,1.00 ,0.00 ,17.80 ,2.00 
51.00 ,0.00 ,3.00 ,1.00 ,7.00 ,4.00 ,1.00 ,39.69 ,2.00 
52.00 ,0.00 ,3.00 ,1.00 ,21.00 ,0.00 ,0.00 ,7.80 ,2.00 
53.00 ,1.00 ,1.00 ,0.00 ,49.00 ,1.00 ,0.00 ,76.73 ,0.00 
54.00 ,1.00 ,2.00 ,0.00 ,29.00 ,1.00 ,0.00 ,26.00 ,2.00 
55.00 ,0.00 ,1.00 ,1.00 ,65.00 ,0.00 ,1.00 ,61.98 ,0.00 
56.00 ,1.00 ,1.00 ,1.00 ,,0.00 ,0.00 ,35.50 ,2.00 
57.00 ,1.00 ,2.00 ,0.00 ,21.00 ,0.00 ,0.00 ,10.50 ,2.00 
58.00 ,0.00 ,3.00 ,1.00 ,28.50 ,0.00 ,0.00 ,7.23 ,0.00 
59.00 ,1.00 ,2.00 ,0.00 ,5.00 ,1.00 ,2.00 ,27.75 ,2.00 
60.00 ,0.00 ,3.00 ,1.00 ,11.00 ,5.00 ,2.00 ,46.90 ,2.00 
61.00 ,0.00 ,3.00 ,1.00 ,22.00 ,0.00 ,0.00 ,7.23 ,0.00 
62.00 ,1.00 ,1.00 ,0.00 ,38.00 ,0.00 ,0.00 ,80.00 ,
63.00 ,0.00 ,1.00 ,1.00 ,45.00 ,1.00 ,0.00 ,83.48 ,2.00 
64.00 ,0.00 ,3.00 ,1.00 ,4.00 ,3.00 ,2.00 ,27.90 ,2.00 
65.00 ,0.00 ,1.00 ,1.00 ,,0.00 ,0.00 ,27.72 ,0.00 
66.00 ,1.00 ,3.00 ,1.00 ,,1.00 ,1.00 ,15.25 ,0.00 
67.00 ,1.00 ,2.00 ,0.00 ,29.00 ,0.00 ,0.00 ,10.50 ,2.00 
68.00 ,0.00 ,3.00 ,1.00 ,19.00 ,0.00 ,0.00 ,8.16 ,2.00 
69.00 ,1.00 ,3.00 ,0.00 ,17.00 ,4.00 ,2.00 ,7.93 ,2.00 
70.00 ,0.00 ,3.00 ,1.00 ,26.00 ,2.00 ,0.00 ,8.66 ,2.00 
71.00 ,0.00 ,2.00 ,1.00 ,32.00 ,0.00 ,0.00 ,10.50 ,2.00 
72.00 ,0.00 ,3.00 ,0.00 ,16.00 ,5.00 ,2.00 ,46.90 ,2.00 
73.00 ,0.00 ,2.00 ,1.00 ,21.00 ,0.00 ,0.00 ,73.50 ,2.00 
74.00 ,0.00 ,3.00 ,1.00 ,26.00 ,1.00 ,0.00 ,14.45 ,0.00 
75.00 ,1.00 ,3.00 ,1.00 ,32.00 ,0.00 ,0.00 ,56.50 ,2.00 
76.00 ,0.00 ,3.00 ,1.00 ,25.00 ,0.00 ,0.00 ,7.65 ,2.00 
77.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.90 ,2.00 
78.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,8.05 ,2.00 
79.00 ,1.00 ,2.00 ,1.00 ,0.83 ,0.00 ,2.00 ,29.00 ,2.00 
80.00 ,1.00 ,3.00 ,0.00 ,30.00 ,0.00 ,0.00 ,12.48 ,2.00 
81.00 ,0.00 ,3.00 ,1.00 ,22.00 ,0.00 ,0.00 ,9.00 ,2.00 
82.00 ,1.00 ,3.00 ,1.00 ,29.00 ,0.00 ,0.00 ,9.50 ,2.00 
83.00 ,1.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,7.79 ,1.00 
84.00 ,0.00 ,1.00 ,1.00 ,28.00 ,0.00 ,0.00 ,47.10 ,2.00 
85.00 ,1.00 ,2.00 ,0.00 ,17.00 ,0.00 ,0.00 ,10.50 ,2.00 
86.00 ,1.00 ,3.00 ,0.00 ,33.00 ,3.00 ,0.00 ,15.85 ,2.00 
87.00 ,0.00 ,3.00 ,1.00 ,16.00 ,1.00 ,3.00 ,34.38 ,2.00 
88.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,8.05 ,2.00 
89.00 ,1.00 ,1.00 ,0.00 ,23.00 ,3.00 ,2.00 ,263.00 ,2.00 
90.00 ,0.00 ,3.00 ,1.00 ,24.00 ,0.00 ,0.00 ,8.05 ,2.00 
91.00 ,0.00 ,3.00 ,1.00 ,29.00 ,0.00 ,0.00 ,8.05 ,2.00 
92.00 ,0.00 ,3.00 ,1.00 ,20.00 ,0.00 ,0.00 ,7.85 ,2.00 
93.00 ,0.00 ,1.00 ,1.00 ,46.00 ,1.00 ,0.00 ,61.18 ,2.00 
94.00 ,0.00 ,3.00 ,1.00 ,26.00 ,1.00 ,2.00 ,20.58 ,2.00 
95.00 ,0.00 ,3.00 ,1.00 ,59.00 ,0.00 ,0.00 ,7.25 ,2.00 
96.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,8.05 ,2.00 
97.00 ,0.00 ,1.00 ,1.00 ,71.00 ,0.00 ,0.00 ,34.65 ,0.00 
98.00 ,1.00 ,1.00 ,1.00 ,23.00 ,0.00 ,1.00 ,63.36 ,0.00 
99.00 ,1.00 ,2.00 ,0.00 ,34.00 ,0.00 ,1.00 ,23.00 ,2.00 
100.00 ,0.00 ,2.00 ,1.00 ,34.00 ,1.00 ,0.00 ,26.00 ,2.00 
101.00 ,0.00 ,3.00 ,0.00 ,28.00 ,0.00 ,0.00 ,7.90 ,2.00 
102.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.90 ,2.00 
103.00 ,0.00 ,1.00 ,1.00 ,21.00 ,0.00 ,1.00 ,77.29 ,2.00 
104.00 ,0.00 ,3.00 ,1.00 ,33.00 ,0.00 ,0.00 ,8.65 ,2.00 
105.00 ,0.00 ,3.00 ,1.00 ,37.00 ,2.00 ,0.00 ,7.93 ,2.00 
106.00 ,0.00 ,3.00 ,1.00 ,28.00 ,0.00 ,0.00 ,7.90 ,2.00 
107.00 ,1.00 ,3.00 ,0.00 ,21.00 ,0.00 ,0.00 ,7.65 ,2.00 
108.00 ,1.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.78 ,2.00 
109.00 ,0.00 ,3.00 ,1.00 ,38.00 ,0.00 ,0.00 ,7.90 ,2.00 
110.00 ,1.00 ,3.00 ,0.00 ,,1.00 ,0.00 ,24.15 ,1.00 
111.00 ,0.00 ,1.00 ,1.00 ,47.00 ,0.00 ,0.00 ,52.00 ,2.00 
112.00 ,0.00 ,3.00 ,0.00 ,14.50 ,1.00 ,0.00 ,14.45 ,0.00 
113.00 ,0.00 ,3.00 ,1.00 ,22.00 ,0.00 ,0.00 ,8.05 ,2.00 
114.00 ,0.00 ,3.00 ,0.00 ,20.00 ,1.00 ,0.00 ,9.83 ,2.00 
115.00 ,0.00 ,3.00 ,0.00 ,17.00 ,0.00 ,0.00 ,14.46 ,0.00 
116.00 ,0.00 ,3.00 ,1.00 ,21.00 ,0.00 ,0.00 ,7.93 ,2.00 
117.00 ,0.00 ,3.00 ,1.00 ,70.50 ,0.00 ,0.00 ,7.75 ,1.00 
118.00 ,0.00 ,2.00 ,1.00 ,29.00 ,1.00 ,0.00 ,21.00 ,2.00 
119.00 ,0.00 ,1.00 ,1.00 ,24.00 ,0.00 ,1.00 ,247.52 ,0.00 
120.00 ,0.00 ,3.00 ,0.00 ,2.00 ,4.00 ,2.00 ,31.28 ,2.00 
121.00 ,0.00 ,2.00 ,1.00 ,21.00 ,2.00 ,0.00 ,73.50 ,2.00 
122.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,8.05 ,2.00 
123.00 ,0.00 ,2.00 ,1.00 ,32.50 ,1.00 ,0.00 ,30.07 ,0.00 
124.00 ,1.00 ,2.00 ,0.00 ,32.50 ,0.00 ,0.00 ,13.00 ,2.00 
125.00 ,0.00 ,1.00 ,1.00 ,54.00 ,0.00 ,1.00 ,77.29 ,2.00 
126.00 ,1.00 ,3.00 ,1.00 ,12.00 ,1.00 ,0.00 ,11.24 ,0.00 
127.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.75 ,1.00 
128.00 ,1.00 ,3.00 ,1.00 ,24.00 ,0.00 ,0.00 ,7.14 ,2.00 
129.00 ,1.00 ,3.00 ,0.00 ,,1.00 ,1.00 ,22.36 ,0.00 
130.00 ,0.00 ,3.00 ,1.00 ,45.00 ,0.00 ,0.00 ,6.98 ,2.00 
131.00 ,0.00 ,3.00 ,1.00 ,33.00 ,0.00 ,0.00 ,7.90 ,0.00 
132.00 ,0.00 ,3.00 ,1.00 ,20.00 ,0.00 ,0.00 ,7.05 ,2.00 
133.00 ,0.00 ,3.00 ,0.00 ,47.00 ,1.00 ,0.00 ,14.50 ,2.00 
134.00 ,1.00 ,2.00 ,0.00 ,29.00 ,1.00 ,0.00 ,26.00 ,2.00 
135.00 ,0.00 ,2.00 ,1.00 ,25.00 ,0.00 ,0.00 ,13.00 ,2.00 
136.00 ,0.00 ,2.00 ,1.00 ,23.00 ,0.00 ,0.00 ,15.05 ,0.00 
137.00 ,1.00 ,1.00 ,0.00 ,19.00 ,0.00 ,2.00 ,26.28 ,2.00 
138.00 ,0.00 ,1.00 ,1.00 ,37.00 ,1.00 ,0.00 ,53.10 ,2.00 
139.00 ,0.00 ,3.00 ,1.00 ,16.00 ,0.00 ,0.00 ,9.22 ,2.00 
140.00 ,0.00 ,1.00 ,1.00 ,24.00 ,0.00 ,0.00 ,79.20 ,0.00 
141.00 ,0.00 ,3.00 ,0.00 ,,0.00 ,2.00 ,15.25 ,0.00 
142.00 ,1.00 ,3.00 ,0.00 ,22.00 ,0.00 ,0.00 ,7.75 ,2.00 
143.00 ,1.00 ,3.00 ,0.00 ,24.00 ,1.00 ,0.00 ,15.85 ,2.00 
144.00 ,0.00 ,3.00 ,1.00 ,19.00 ,0.00 ,0.00 ,6.75 ,1.00 
145.00 ,0.00 ,2.00 ,1.00 ,18.00 ,0.00 ,0.00 ,11.50 ,2.00 
146.00 ,0.00 ,2.00 ,1.00 ,19.00 ,1.00 ,1.00 ,36.75 ,2.00 
147.00 ,1.00 ,3.00 ,1.00 ,27.00 ,0.00 ,0.00 ,7.80 ,2.00 
148.00 ,0.00 ,3.00 ,0.00 ,9.00 ,2.00 ,2.00 ,34.38 ,2.00 
149.00 ,0.00 ,2.00 ,1.00 ,36.50 ,0.00 ,2.00 ,26.00 ,2.00 
150.00 ,0.00 ,2.00 ,1.00 ,42.00 ,0.00 ,0.00 ,13.00 ,2.00 
151.00 ,0.00 ,2.00 ,1.00 ,51.00 ,0.00 ,0.00 ,12.53 ,2.00 
152.00 ,1.00 ,1.00 ,0.00 ,22.00 ,1.00 ,0.00 ,66.60 ,2.00 
153.00 ,0.00 ,3.00 ,1.00 ,55.50 ,0.00 ,0.00 ,8.05 ,2.00 
154.00 ,0.00 ,3.00 ,1.00 ,40.50 ,0.00 ,2.00 ,14.50 ,2.00 
155.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.31 ,2.00 
156.00 ,0.00 ,1.00 ,1.00 ,51.00 ,0.00 ,1.00 ,61.38 ,0.00 
157.00 ,1.00 ,3.00 ,0.00 ,16.00 ,0.00 ,0.00 ,7.73 ,1.00 
158.00 ,0.00 ,3.00 ,1.00 ,30.00 ,0.00 ,0.00 ,8.05 ,2.00 
159.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,8.66 ,2.00 
160.00 ,0.00 ,3.00 ,1.00 ,,8.00 ,2.00 ,69.55 ,2.00 
161.00 ,0.00 ,3.00 ,1.00 ,44.00 ,0.00 ,1.00 ,16.10 ,2.00 
162.00 ,1.00 ,2.00 ,0.00 ,40.00 ,0.00 ,0.00 ,15.75 ,2.00 
163.00 ,0.00 ,3.00 ,1.00 ,26.00 ,0.00 ,0.00 ,7.78 ,2.00 
164.00 ,0.00 ,3.00 ,1.00 ,17.00 ,0.00 ,0.00 ,8.66 ,2.00 
165.00 ,0.00 ,3.00 ,1.00 ,1.00 ,4.00 ,1.00 ,39.69 ,2.00 
166.00 ,1.00 ,3.00 ,1.00 ,9.00 ,0.00 ,2.00 ,20.53 ,2.00 
167.00 ,1.00 ,1.00 ,0.00 ,,0.00 ,1.00 ,55.00 ,2.00 
168.00 ,0.00 ,3.00 ,0.00 ,45.00 ,1.00 ,4.00 ,27.90 ,2.00 
169.00 ,0.00 ,1.00 ,1.00 ,,0.00 ,0.00 ,25.93 ,2.00 
170.00 ,0.00 ,3.00 ,1.00 ,28.00 ,0.00 ,0.00 ,56.50 ,2.00 
171.00 ,0.00 ,1.00 ,1.00 ,61.00 ,0.00 ,0.00 ,33.50 ,2.00 
172.00 ,0.00 ,3.00 ,1.00 ,4.00 ,4.00 ,1.00 ,29.13 ,1.00 
173.00 ,1.00 ,3.00 ,0.00 ,1.00 ,1.00 ,1.00 ,11.13 ,2.00 
174.00 ,0.00 ,3.00 ,1.00 ,21.00 ,0.00 ,0.00 ,7.93 ,2.00 
175.00 ,0.00 ,1.00 ,1.00 ,56.00 ,0.00 ,0.00 ,30.70 ,0.00 
176.00 ,0.00 ,3.00 ,1.00 ,18.00 ,1.00 ,1.00 ,7.85 ,2.00 
177.00 ,0.00 ,3.00 ,1.00 ,,3.00 ,1.00 ,25.47 ,2.00 
178.00 ,0.00 ,1.00 ,0.00 ,50.00 ,0.00 ,0.00 ,28.71 ,0.00 
179.00 ,0.00 ,2.00 ,1.00 ,30.00 ,0.00 ,0.00 ,13.00 ,2.00 
180.00 ,0.00 ,3.00 ,1.00 ,36.00 ,0.00 ,0.00 ,0.00 ,2.00 
181.00 ,0.00 ,3.00 ,0.00 ,,8.00 ,2.00 ,69.55 ,2.00 
182.00 ,0.00 ,2.00 ,1.00 ,,0.00 ,0.00 ,15.05 ,0.00 
183.00 ,0.00 ,3.00 ,1.00 ,9.00 ,4.00 ,2.00 ,31.39 ,2.00 
184.00 ,1.00 ,2.00 ,1.00 ,1.00 ,2.00 ,1.00 ,39.00 ,2.00 
185.00 ,1.00 ,3.00 ,0.00 ,4.00 ,0.00 ,2.00 ,22.03 ,2.00 
186.00 ,0.00 ,1.00 ,1.00 ,,0.00 ,0.00 ,50.00 ,2.00 
187.00 ,1.00 ,3.00 ,0.00 ,,1.00 ,0.00 ,15.50 ,1.00 
188.00 ,1.00 ,1.00 ,1.00 ,45.00 ,0.00 ,0.00 ,26.55 ,2.00 
189.00 ,0.00 ,3.00 ,1.00 ,40.00 ,1.00 ,1.00 ,15.50 ,1.00 
190.00 ,0.00 ,3.00 ,1.00 ,36.00 ,0.00 ,0.00 ,7.90 ,2.00 
191.00 ,1.00 ,2.00 ,0.00 ,32.00 ,0.00 ,0.00 ,13.00 ,2.00 
192.00 ,0.00 ,2.00 ,1.00 ,19.00 ,0.00 ,0.00 ,13.00 ,2.00 
193.00 ,1.00 ,3.00 ,0.00 ,19.00 ,1.00 ,0.00 ,7.85 ,2.00 
194.00 ,1.00 ,2.00 ,1.00 ,3.00 ,1.00 ,1.00 ,26.00 ,2.00 
195.00 ,1.00 ,1.00 ,0.00 ,44.00 ,0.00 ,0.00 ,27.72 ,0.00 
196.00 ,1.00 ,1.00 ,0.00 ,58.00 ,0.00 ,0.00 ,146.52 ,0.00 
197.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.75 ,1.00 
198.00 ,0.00 ,3.00 ,1.00 ,42.00 ,0.00 ,1.00 ,8.40 ,2.00 
199.00 ,1.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,7.75 ,1.00 
200.00 ,0.00 ,2.00 ,0.00 ,24.00 ,0.00 ,0.00 ,13.00 ,2.00 
201.00 ,0.00 ,3.00 ,1.00 ,28.00 ,0.00 ,0.00 ,9.50 ,2.00 
202.00 ,0.00 ,3.00 ,1.00 ,,8.00 ,2.00 ,69.55 ,2.00 
203.00 ,0.00 ,3.00 ,1.00 ,34.00 ,0.00 ,0.00 ,6.50 ,2.00 
204.00 ,0.00 ,3.00 ,1.00 ,45.50 ,0.00 ,0.00 ,7.23 ,0.00 
205.00 ,1.00 ,3.00 ,1.00 ,18.00 ,0.00 ,0.00 ,8.05 ,2.00 
206.00 ,0.00 ,3.00 ,0.00 ,2.00 ,0.00 ,1.00 ,10.46 ,2.00 
207.00 ,0.00 ,3.00 ,1.00 ,32.00 ,1.00 ,0.00 ,15.85 ,2.00 
208.00 ,1.00 ,3.00 ,1.00 ,26.00 ,0.00 ,0.00 ,18.79 ,0.00 
209.00 ,1.00 ,3.00 ,0.00 ,16.00 ,0.00 ,0.00 ,7.75 ,1.00 
210.00 ,1.00 ,1.00 ,1.00 ,40.00 ,0.00 ,0.00 ,31.00 ,0.00 
211.00 ,0.00 ,3.00 ,1.00 ,24.00 ,0.00 ,0.00 ,7.05 ,2.00 
212.00 ,1.00 ,2.00 ,0.00 ,35.00 ,0.00 ,0.00 ,21.00 ,2.00 
213.00 ,0.00 ,3.00 ,1.00 ,22.00 ,0.00 ,0.00 ,7.25 ,2.00 
214.00 ,0.00 ,2.00 ,1.00 ,30.00 ,0.00 ,0.00 ,13.00 ,2.00 
215.00 ,0.00 ,3.00 ,1.00 ,,1.00 ,0.00 ,7.75 ,1.00 
216.00 ,1.00 ,1.00 ,0.00 ,31.00 ,1.00 ,0.00 ,113.28 ,0.00 
217.00 ,1.00 ,3.00 ,0.00 ,27.00 ,0.00 ,0.00 ,7.93 ,2.00 
218.00 ,0.00 ,2.00 ,1.00 ,42.00 ,1.00 ,0.00 ,27.00 ,2.00 
219.00 ,1.00 ,1.00 ,0.00 ,32.00 ,0.00 ,0.00 ,76.29 ,0.00 
220.00 ,0.00 ,2.00 ,1.00 ,30.00 ,0.00 ,0.00 ,10.50 ,2.00 
221.00 ,1.00 ,3.00 ,1.00 ,16.00 ,0.00 ,0.00 ,8.05 ,2.00 
222.00 ,0.00 ,2.00 ,1.00 ,27.00 ,0.00 ,0.00 ,13.00 ,2.00 
223.00 ,0.00 ,3.00 ,1.00 ,51.00 ,0.00 ,0.00 ,8.05 ,2.00 
