PassengerId,Survived,Pclass,sex_no,Age,SibSp,Parch,Fare,Em_no
224.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.90 ,2.00 
225.00 ,1.00 ,1.00 ,1.00 ,38.00 ,1.00 ,0.00 ,90.00 ,2.00 
226.00 ,0.00 ,3.00 ,1.00 ,22.00 ,0.00 ,0.00 ,9.35 ,2.00 
227.00 ,1.00 ,2.00 ,1.00 ,19.00 ,0.00 ,0.00 ,10.50 ,2.00 
228.00 ,0.00 ,3.00 ,1.00 ,20.50 ,0.00 ,0.00 ,7.25 ,2.00 
229.00 ,0.00 ,2.00 ,1.00 ,18.00 ,0.00 ,0.00 ,13.00 ,2.00 
230.00 ,0.00 ,3.00 ,0.00 ,,3.00 ,1.00 ,25.47 ,2.00 
231.00 ,1.00 ,1.00 ,0.00 ,35.00 ,1.00 ,0.00 ,83.48 ,2.00 
232.00 ,0.00 ,3.00 ,1.00 ,29.00 ,0.00 ,0.00 ,7.78 ,2.00 
233.00 ,0.00 ,2.00 ,1.00 ,59.00 ,0.00 ,0.00 ,13.50 ,2.00 
234.00 ,1.00 ,3.00 ,0.00 ,5.00 ,4.00 ,2.00 ,31.39 ,2.00 
235.00 ,0.00 ,2.00 ,1.00 ,24.00 ,0.00 ,0.00 ,10.50 ,2.00 
236.00 ,0.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,7.55 ,2.00 
237.00 ,0.00 ,2.00 ,1.00 ,44.00 ,1.00 ,0.00 ,26.00 ,2.00 
238.00 ,1.00 ,2.00 ,0.00 ,8.00 ,0.00 ,2.00 ,26.25 ,2.00 
239.00 ,0.00 ,2.00 ,1.00 ,19.00 ,0.00 ,0.00 ,10.50 ,2.00 
240.00 ,0.00 ,2.00 ,1.00 ,33.00 ,0.00 ,0.00 ,12.28 ,2.00 
241.00 ,0.00 ,3.00 ,0.00 ,,1.00 ,0.00 ,14.45 ,0.00 
242.00 ,1.00 ,3.00 ,0.00 ,,1.00 ,0.00 ,15.50 ,1.00 
243.00 ,0.00 ,2.00 ,1.00 ,29.00 ,0.00 ,0.00 ,10.50 ,2.00 
244.00 ,0.00 ,3.00 ,1.00 ,22.00 ,0.00 ,0.00 ,7.13 ,2.00 
245.00 ,0.00 ,3.00 ,1.00 ,30.00 ,0.00 ,0.00 ,7.23 ,0.00 
246.00 ,0.00 ,1.00 ,1.00 ,44.00 ,2.00 ,0.00 ,90.00 ,1.00 
247.00 ,0.00 ,3.00 ,0.00 ,25.00 ,0.00 ,0.00 ,7.78 ,2.00 
248.00 ,1.00 ,2.00 ,0.00 ,24.00 ,0.00 ,2.00 ,14.50 ,2.00 
249.00 ,1.00 ,1.00 ,1.00 ,37.00 ,1.00 ,1.00 ,52.55 ,2.00 
250.00 ,0.00 ,2.00 ,1.00 ,54.00 ,1.00 ,0.00 ,26.00 ,2.00 
251.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.25 ,2.00 
252.00 ,0.00 ,3.00 ,0.00 ,29.00 ,1.00 ,1.00 ,10.46 ,2.00 
253.00 ,0.00 ,1.00 ,1.00 ,62.00 ,0.00 ,0.00 ,26.55 ,2.00 
254.00 ,0.00 ,3.00 ,1.00 ,30.00 ,1.00 ,0.00 ,16.10 ,2.00 
255.00 ,0.00 ,3.00 ,0.00 ,41.00 ,0.00 ,2.00 ,20.21 ,2.00 
256.00 ,1.00 ,3.00 ,0.00 ,29.00 ,0.00 ,2.00 ,15.25 ,0.00 
257.00 ,1.00 ,1.00 ,0.00 ,,0.00 ,0.00 ,79.20 ,0.00 
258.00 ,1.00 ,1.00 ,0.00 ,30.00 ,0.00 ,0.00 ,86.50 ,2.00 
259.00 ,1.00 ,1.00 ,0.00 ,35.00 ,0.00 ,0.00 ,512.33 ,0.00 
260.00 ,1.00 ,2.00 ,0.00 ,50.00 ,0.00 ,1.00 ,26.00 ,2.00 
261.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.75 ,1.00 
262.00 ,1.00 ,3.00 ,1.00 ,3.00 ,4.00 ,2.00 ,31.39 ,2.00 
263.00 ,0.00 ,1.00 ,1.00 ,52.00 ,1.00 ,1.00 ,79.65 ,2.00 
264.00 ,0.00 ,1.00 ,1.00 ,40.00 ,0.00 ,0.00 ,0.00 ,2.00 
265.00 ,0.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,7.75 ,1.00 
266.00 ,0.00 ,2.00 ,1.00 ,36.00 ,0.00 ,0.00 ,10.50 ,2.00 
267.00 ,0.00 ,3.00 ,1.00 ,16.00 ,4.00 ,1.00 ,39.69 ,2.00 
268.00 ,1.00 ,3.00 ,1.00 ,25.00 ,1.00 ,0.00 ,7.78 ,2.00 
269.00 ,1.00 ,1.00 ,0.00 ,58.00 ,0.00 ,1.00 ,153.46 ,2.00 
270.00 ,1.00 ,1.00 ,0.00 ,35.00 ,0.00 ,0.00 ,135.63 ,2.00 
271.00 ,0.00 ,1.00 ,1.00 ,,0.00 ,0.00 ,31.00 ,2.00 
272.00 ,1.00 ,3.00 ,1.00 ,25.00 ,0.00 ,0.00 ,0.00 ,2.00 
273.00 ,1.00 ,2.00 ,0.00 ,41.00 ,0.00 ,1.00 ,19.50 ,2.00 
274.00 ,0.00 ,1.00 ,1.00 ,37.00 ,0.00 ,1.00 ,29.70 ,0.00 
275.00 ,1.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,7.75 ,1.00 
276.00 ,1.00 ,1.00 ,0.00 ,63.00 ,1.00 ,0.00 ,77.96 ,2.00 
277.00 ,0.00 ,3.00 ,0.00 ,45.00 ,0.00 ,0.00 ,7.75 ,2.00 
278.00 ,0.00 ,2.00 ,1.00 ,,0.00 ,0.00 ,0.00 ,2.00 
279.00 ,0.00 ,3.00 ,1.00 ,7.00 ,4.00 ,1.00 ,29.13 ,1.00 
280.00 ,1.00 ,3.00 ,0.00 ,35.00 ,1.00 ,1.00 ,20.25 ,2.00 
281.00 ,0.00 ,3.00 ,1.00 ,65.00 ,0.00 ,0.00 ,7.75 ,1.00 
282.00 ,0.00 ,3.00 ,1.00 ,28.00 ,0.00 ,0.00 ,7.85 ,2.00 
283.00 ,0.00 ,3.00 ,1.00 ,16.00 ,0.00 ,0.00 ,9.50 ,2.00 
284.00 ,1.00 ,3.00 ,1.00 ,19.00 ,0.00 ,0.00 ,8.05 ,2.00 
285.00 ,0.00 ,1.00 ,1.00 ,,0.00 ,0.00 ,26.00 ,2.00 
286.00 ,0.00 ,3.00 ,1.00 ,33.00 ,0.00 ,0.00 ,8.66 ,0.00 
287.00 ,1.00 ,3.00 ,1.00 ,30.00 ,0.00 ,0.00 ,9.50 ,2.00 
288.00 ,0.00 ,3.00 ,1.00 ,22.00 ,0.00 ,0.00 ,7.90 ,2.00 
289.00 ,1.00 ,2.00 ,1.00 ,42.00 ,0.00 ,0.00 ,13.00 ,2.00 
290.00 ,1.00 ,3.00 ,0.00 ,22.00 ,0.00 ,0.00 ,7.75 ,1.00 
291.00 ,1.00 ,1.00 ,0.00 ,26.00 ,0.00 ,0.00 ,78.85 ,2.00 
292.00 ,1.00 ,1.00 ,0.00 ,19.00 ,1.00 ,0.00 ,91.08 ,0.00 
293.00 ,0.00 ,2.00 ,1.00 ,36.00 ,0.00 ,0.00 ,12.88 ,0.00 
294.00 ,0.00 ,3.00 ,0.00 ,24.00 ,0.00 ,0.00 ,8.85 ,2.00 
295.00 ,0.00 ,3.00 ,1.00 ,24.00 ,0.00 ,0.00 ,7.90 ,2.00 
296.00 ,0.00 ,1.00 ,1.00 ,,0.00 ,0.00 ,27.72 ,0.00 
297.00 ,0.00 ,3.00 ,1.00 ,23.50 ,0.00 ,0.00 ,7.23 ,0.00 
298.00 ,0.00 ,1.00 ,0.00 ,2.00 ,1.00 ,2.00 ,151.55 ,2.00 
299.00 ,1.00 ,1.00 ,1.00 ,,0.00 ,0.00 ,30.50 ,2.00 
300.00 ,1.00 ,1.00 ,0.00 ,50.00 ,0.00 ,1.00 ,247.52 ,0.00 
301.00 ,1.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,7.75 ,1.00 
302.00 ,1.00 ,3.00 ,1.00 ,,2.00 ,0.00 ,23.25 ,1.00 
303.00 ,0.00 ,3.00 ,1.00 ,19.00 ,0.00 ,0.00 ,0.00 ,2.00 
304.00 ,1.00 ,2.00 ,0.00 ,,0.00 ,0.00 ,12.35 ,1.00 
305.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,8.05 ,2.00 
306.00 ,1.00 ,1.00 ,1.00 ,0.92 ,1.00 ,2.00 ,151.55 ,2.00 
307.00 ,1.00 ,1.00 ,0.00 ,,0.00 ,0.00 ,110.88 ,0.00 
308.00 ,1.00 ,1.00 ,0.00 ,17.00 ,1.00 ,0.00 ,108.90 ,0.00 
309.00 ,0.00 ,2.00 ,1.00 ,30.00 ,1.00 ,0.00 ,24.00 ,0.00 
310.00 ,1.00 ,1.00 ,0.00 ,30.00 ,0.00 ,0.00 ,56.93 ,0.00 
311.00 ,1.00 ,1.00 ,0.00 ,24.00 ,0.00 ,0.00 ,83.16 ,0.00 
312.00 ,1.00 ,1.00 ,0.00 ,18.00 ,2.00 ,2.00 ,262.38 ,0.00 
313.00 ,0.00 ,2.00 ,0.00 ,26.00 ,1.00 ,1.00 ,26.00 ,2.00 
314.00 ,0.00 ,3.00 ,1.00 ,28.00 ,0.00 ,0.00 ,7.90 ,2.00 
315.00 ,0.00 ,2.00 ,1.00 ,43.00 ,1.00 ,1.00 ,26.25 ,2.00 
316.00 ,1.00 ,3.00 ,0.00 ,26.00 ,0.00 ,0.00 ,7.85 ,2.00 
317.00 ,1.00 ,2.00 ,0.00 ,24.00 ,1.00 ,0.00 ,26.00 ,2.00 
318.00 ,0.00 ,2.00 ,1.00 ,54.00 ,0.00 ,0.00 ,14.00 ,2.00 
319.00 ,1.00 ,1.00 ,0.00 ,31.00 ,0.00 ,2.00 ,164.87 ,2.00 
320.00 ,1.00 ,1.00 ,0.00 ,40.00 ,1.00 ,1.00 ,134.50 ,0.00 
321.00 ,0.00 ,3.00 ,1.00 ,22.00 ,0.00 ,0.00 ,7.25 ,2.00 
322.00 ,0.00 ,3.00 ,1.00 ,27.00 ,0.00 ,0.00 ,7.90 ,2.00 
323.00 ,1.00 ,2.00 ,0.00 ,30.00 ,0.00 ,0.00 ,12.35 ,1.00 
324.00 ,1.00 ,2.00 ,0.00 ,22.00 ,1.00 ,1.00 ,29.00 ,2.00 
325.00 ,0.00 ,3.00 ,1.00 ,,8.00 ,2.00 ,69.55 ,2.00 
326.00 ,1.00 ,1.00 ,0.00 ,36.00 ,0.00 ,0.00 ,135.63 ,0.00 
327.00 ,0.00 ,3.00 ,1.00 ,61.00 ,0.00 ,0.00 ,6.24 ,2.00 
328.00 ,1.00 ,2.00 ,0.00 ,36.00 ,0.00 ,0.00 ,13.00 ,2.00 
329.00 ,1.00 ,3.00 ,0.00 ,31.00 ,1.00 ,1.00 ,20.53 ,2.00 
330.00 ,1.00 ,1.00 ,0.00 ,16.00 ,0.00 ,1.00 ,57.98 ,0.00 
331.00 ,1.00 ,3.00 ,0.00 ,,2.00 ,0.00 ,23.25 ,1.00 
332.00 ,0.00 ,1.00 ,1.00 ,45.50 ,0.00 ,0.00 ,28.50 ,2.00 
333.00 ,0.00 ,1.00 ,1.00 ,38.00 ,0.00 ,1.00 ,153.46 ,2.00 
334.00 ,0.00 ,3.00 ,1.00 ,16.00 ,2.00 ,0.00 ,18.00 ,2.00 
335.00 ,1.00 ,1.00 ,0.00 ,,1.00 ,0.00 ,133.65 ,2.00 
336.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.90 ,2.00 
337.00 ,0.00 ,1.00 ,1.00 ,29.00 ,1.00 ,0.00 ,66.60 ,2.00 
338.00 ,1.00 ,1.00 ,0.00 ,41.00 ,0.00 ,0.00 ,134.50 ,0.00 
339.00 ,1.00 ,3.00 ,1.00 ,45.00 ,0.00 ,0.00 ,8.05 ,2.00 
340.00 ,0.00 ,1.00 ,1.00 ,45.00 ,0.00 ,0.00 ,35.50 ,2.00 
341.00 ,1.00 ,2.00 ,1.00 ,2.00 ,1.00 ,1.00 ,26.00 ,2.00 
342.00 ,1.00 ,1.00 ,0.00 ,24.00 ,3.00 ,2.00 ,263.00 ,2.00 
343.00 ,0.00 ,2.00 ,1.00 ,28.00 ,0.00 ,0.00 ,13.00 ,2.00 
344.00 ,0.00 ,2.00 ,1.00 ,25.00 ,0.00 ,0.00 ,13.00 ,2.00 
345.00 ,0.00 ,2.00 ,1.00 ,36.00 ,0.00 ,0.00 ,13.00 ,2.00 
346.00 ,1.00 ,2.00 ,0.00 ,24.00 ,0.00 ,0.00 ,13.00 ,2.00 
347.00 ,1.00 ,2.00 ,0.00 ,40.00 ,0.00 ,0.00 ,13.00 ,2.00 
348.00 ,1.00 ,3.00 ,0.00 ,,1.00 ,0.00 ,16.10 ,2.00 
349.00 ,1.00 ,3.00 ,1.00 ,3.00 ,1.00 ,1.00 ,15.90 ,2.00 
350.00 ,0.00 ,3.00 ,1.00 ,42.00 ,0.00 ,0.00 ,8.66 ,2.00 
351.00 ,0.00 ,3.00 ,1.00 ,23.00 ,0.00 ,0.00 ,9.23 ,2.00 
352.00 ,0.00 ,1.00 ,1.00 ,,0.00 ,0.00 ,35.00 ,2.00 
353.00 ,0.00 ,3.00 ,1.00 ,15.00 ,1.00 ,1.00 ,7.23 ,0.00 
354.00 ,0.00 ,3.00 ,1.00 ,25.00 ,1.00 ,0.00 ,17.80 ,2.00 
355.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.23 ,0.00 
356.00 ,0.00 ,3.00 ,1.00 ,28.00 ,0.00 ,0.00 ,9.50 ,2.00 
357.00 ,1.00 ,1.00 ,0.00 ,22.00 ,0.00 ,1.00 ,55.00 ,2.00 
358.00 ,0.00 ,2.00 ,0.00 ,38.00 ,0.00 ,0.00 ,13.00 ,2.00 
359.00 ,1.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,7.88 ,1.00 
360.00 ,1.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,7.88 ,1.00 
361.00 ,0.00 ,3.00 ,1.00 ,40.00 ,1.00 ,4.00 ,27.90 ,2.00 
362.00 ,0.00 ,2.00 ,1.00 ,29.00 ,1.00 ,0.00 ,27.72 ,0.00 
363.00 ,0.00 ,3.00 ,0.00 ,45.00 ,0.00 ,1.00 ,14.45 ,0.00 
364.00 ,0.00 ,3.00 ,1.00 ,35.00 ,0.00 ,0.00 ,7.05 ,2.00 
365.00 ,0.00 ,3.00 ,1.00 ,,1.00 ,0.00 ,15.50 ,1.00 
366.00 ,0.00 ,3.00 ,1.00 ,30.00 ,0.00 ,0.00 ,7.25 ,2.00 
367.00 ,1.00 ,1.00 ,0.00 ,60.00 ,1.00 ,0.00 ,75.25 ,0.00 
368.00 ,1.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,7.23 ,0.00 
369.00 ,1.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,7.75 ,1.00 
370.00 ,1.00 ,1.00 ,0.00 ,24.00 ,0.00 ,0.00 ,69.30 ,0.00 
371.00 ,1.00 ,1.00 ,1.00 ,25.00 ,1.00 ,0.00 ,55.44 ,0.00 
372.00 ,0.00 ,3.00 ,1.00 ,18.00 ,1.00 ,0.00 ,6.50 ,2.00 
373.00 ,0.00 ,3.00 ,1.00 ,19.00 ,0.00 ,0.00 ,8.05 ,2.00 
374.00 ,0.00 ,1.00 ,1.00 ,22.00 ,0.00 ,0.00 ,135.63 ,0.00 
375.00 ,0.00 ,3.00 ,0.00 ,3.00 ,3.00 ,1.00 ,21.08 ,2.00 
376.00 ,1.00 ,1.00 ,0.00 ,,1.00 ,0.00 ,82.17 ,0.00 
377.00 ,1.00 ,3.00 ,0.00 ,22.00 ,0.00 ,0.00 ,7.25 ,2.00 
378.00 ,0.00 ,1.00 ,1.00 ,27.00 ,0.00 ,2.00 ,211.50 ,0.00 
379.00 ,0.00 ,3.00 ,1.00 ,20.00 ,0.00 ,0.00 ,4.01 ,0.00 
380.00 ,0.00 ,3.00 ,1.00 ,19.00 ,0.00 ,0.00 ,7.78 ,2.00 
381.00 ,1.00 ,1.00 ,0.00 ,42.00 ,0.00 ,0.00 ,227.53 ,0.00 
382.00 ,1.00 ,3.00 ,0.00 ,1.00 ,0.00 ,2.00 ,15.74 ,0.00 
383.00 ,0.00 ,3.00 ,1.00 ,32.00 ,0.00 ,0.00 ,7.93 ,2.00 
384.00 ,1.00 ,1.00 ,0.00 ,35.00 ,1.00 ,0.00 ,52.00 ,2.00 
385.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.90 ,2.00 
386.00 ,0.00 ,2.00 ,1.00 ,18.00 ,0.00 ,0.00 ,73.50 ,2.00 
387.00 ,0.00 ,3.00 ,1.00 ,1.00 ,5.00 ,2.00 ,46.90 ,2.00 
388.00 ,1.00 ,2.00 ,0.00 ,36.00 ,0.00 ,0.00 ,13.00 ,2.00 
389.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.73 ,1.00 
390.00 ,1.00 ,2.00 ,0.00 ,17.00 ,0.00 ,0.00 ,12.00 ,0.00 
391.00 ,1.00 ,1.00 ,1.00 ,36.00 ,1.00 ,2.00 ,120.00 ,2.00 
392.00 ,1.00 ,3.00 ,1.00 ,21.00 ,0.00 ,0.00 ,7.80 ,2.00 
393.00 ,0.00 ,3.00 ,1.00 ,28.00 ,2.00 ,0.00 ,7.93 ,2.00 
394.00 ,1.00 ,1.00 ,0.00 ,23.00 ,1.00 ,0.00 ,113.28 ,0.00 
395.00 ,1.00 ,3.00 ,0.00 ,24.00 ,0.00 ,2.00 ,16.70 ,2.00 
396.00 ,0.00 ,3.00 ,1.00 ,22.00 ,0.00 ,0.00 ,7.80 ,2.00 
397.00 ,0.00 ,3.00 ,0.00 ,31.00 ,0.00 ,0.00 ,7.85 ,2.00 
398.00 ,0.00 ,2.00 ,1.00 ,46.00 ,0.00 ,0.00 ,26.00 ,2.00 
399.00 ,0.00 ,2.00 ,1.00 ,23.00 ,0.00 ,0.00 ,10.50 ,2.00 
400.00 ,1.00 ,2.00 ,0.00 ,28.00 ,0.00 ,0.00 ,12.65 ,2.00 
401.00 ,1.00 ,3.00 ,1.00 ,39.00 ,0.00 ,0.00 ,7.93 ,2.00 
402.00 ,0.00 ,3.00 ,1.00 ,26.00 ,0.00 ,0.00 ,8.05 ,2.00 
403.00 ,0.00 ,3.00 ,0.00 ,21.00 ,1.00 ,0.00 ,9.83 ,2.00 
404.00 ,0.00 ,3.00 ,1.00 ,28.00 ,1.00 ,0.00 ,15.85 ,2.00 
405.00 ,0.00 ,3.00 ,0.00 ,20.00 ,0.00 ,0.00 ,8.66 ,2.00 
406.00 ,0.00 ,2.00 ,1.00 ,34.00 ,1.00 ,0.00 ,21.00 ,2.00 
407.00 ,0.00 ,3.00 ,1.00 ,51.00 ,0.00 ,0.00 ,7.75 ,2.00 
408.00 ,1.00 ,2.00 ,1.00 ,3.00 ,1.00 ,1.00 ,18.75 ,2.00 
409.00 ,0.00 ,3.00 ,1.00 ,21.00 ,0.00 ,0.00 ,7.78 ,2.00 
410.00 ,0.00 ,3.00 ,0.00 ,,3.00 ,1.00 ,25.47 ,2.00 
411.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.90 ,2.00 
412.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,6.86 ,1.00 
413.00 ,1.00 ,1.00 ,0.00 ,33.00 ,1.00 ,0.00 ,90.00 ,1.00 
414.00 ,0.00 ,2.00 ,1.00 ,,0.00 ,0.00 ,0.00 ,2.00 
415.00 ,1.00 ,3.00 ,1.00 ,44.00 ,0.00 ,0.00 ,7.93 ,2.00 
416.00 ,0.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,8.05 ,2.00 
417.00 ,1.00 ,2.00 ,0.00 ,34.00 ,1.00 ,1.00 ,32.50 ,2.00 
418.00 ,1.00 ,2.00 ,0.00 ,18.00 ,0.00 ,2.00 ,13.00 ,2.00 
419.00 ,0.00 ,2.00 ,1.00 ,30.00 ,0.00 ,0.00 ,13.00 ,2.00 
420.00 ,0.00 ,3.00 ,0.00 ,10.00 ,0.00 ,2.00 ,24.15 ,2.00 
421.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.90 ,0.00 
422.00 ,0.00 ,3.00 ,1.00 ,21.00 ,0.00 ,0.00 ,7.73 ,1.00 
423.00 ,0.00 ,3.00 ,1.00 ,29.00 ,0.00 ,0.00 ,7.88 ,2.00 
424.00 ,0.00 ,3.00 ,0.00 ,28.00 ,1.00 ,1.00 ,14.40 ,2.00 
425.00 ,0.00 ,3.00 ,1.00 ,18.00 ,1.00 ,1.00 ,20.21 ,2.00 
426.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.25 ,2.00 
427.00 ,1.00 ,2.00 ,0.00 ,28.00 ,1.00 ,0.00 ,26.00 ,2.00 
428.00 ,1.00 ,2.00 ,0.00 ,19.00 ,0.00 ,0.00 ,26.00 ,2.00 
429.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.75 ,1.00 
430.00 ,1.00 ,3.00 ,1.00 ,32.00 ,0.00 ,0.00 ,8.05 ,2.00 
431.00 ,1.00 ,1.00 ,1.00 ,28.00 ,0.00 ,0.00 ,26.55 ,2.00 
432.00 ,1.00 ,3.00 ,0.00 ,,1.00 ,0.00 ,16.10 ,2.00 
433.00 ,1.00 ,2.00 ,0.00 ,42.00 ,1.00 ,0.00 ,26.00 ,2.00 
434.00 ,0.00 ,3.00 ,1.00 ,17.00 ,0.00 ,0.00 ,7.13 ,2.00 
435.00 ,0.00 ,1.00 ,1.00 ,50.00 ,1.00 ,0.00 ,55.90 ,2.00 
436.00 ,1.00 ,1.00 ,0.00 ,14.00 ,1.00 ,2.00 ,120.00 ,2.00 
437.00 ,0.00 ,3.00 ,0.00 ,21.00 ,2.00 ,2.00 ,34.38 ,2.00 
438.00 ,1.00 ,2.00 ,0.00 ,24.00 ,2.00 ,3.00 ,18.75 ,2.00 
439.00 ,0.00 ,1.00 ,1.00 ,64.00 ,1.00 ,4.00 ,263.00 ,2.00 
440.00 ,0.00 ,2.00 ,1.00 ,31.00 ,0.00 ,0.00 ,10.50 ,2.00 
441.00 ,1.00 ,2.00 ,0.00 ,45.00 ,1.00 ,1.00 ,26.25 ,2.00 
442.00 ,0.00 ,3.00 ,1.00 ,20.00 ,0.00 ,0.00 ,9.50 ,2.00 
443.00 ,0.00 ,3.00 ,1.00 ,25.00 ,1.00 ,0.00 ,7.78 ,2.00 
444.00 ,1.00 ,2.00 ,0.00 ,28.00 ,0.00 ,0.00 ,13.00 ,2.00 
445.00 ,1.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,8.11 ,2.00 
